data_date,timestamp,time_window_end,window_minute,area,area_type,ensemble_pred,wait_time_min,congestion_grade,operation_basis,operation_interval_min,im_gate,raw_required_security_lanes,recommended_security_lanes,operation_level,recommendation
2025-09-01,2025-09-01 07:00:00,2025-09-01 07:10:00,420,IM2,security,87.15,13.57,4,실측 10분 85% 분위값,10,IM2,15,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 07:10:00,2025-09-01 07:20:00,430,IM1,security,155.3,39.3,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 07:10:00,2025-09-01 07:20:00,430,IM2,security,76.0,11.22,3,실측 10분 85% 분위값,10,IM2,13,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 07:20:00,2025-09-01 07:30:00,440,IM1,security,169.15,48.17,8,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 07:20:00,2025-09-01 07:30:00,440,IM2,security,74.3,10.89,3,실측 10분 85% 분위값,10,IM2,13,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 07:30:00,2025-09-01 07:40:00,450,IM1,security,149.15,35.87,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 07:30:00,2025-09-01 07:40:00,450,IM2,security,84.15,12.9,4,실측 10분 85% 분위값,10,IM2,15,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 07:40:00,2025-09-01 07:50:00,460,IM1,security,152.6,37.76,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 07:40:00,2025-09-01 07:50:00,460,IM2,security,78.0,11.61,3,실측 10분 85% 분위값,10,IM2,13,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 07:50:00,2025-09-01 08:00:00,470,IM1,security,130.3,27.0,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
